7 7 7 7 7 7 7 7 7 7
7 8 8 8 8 7 7 7 7 7
7 8 0 0 0 7 7 8 8 8
7 8 0 0 0 7 7 8 8 8
7 8 0 0 0 7 7 8 8 8
7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 8 8 8 8
7 7 8 8 8 7 8 0 0 0
7 7 8 8 8 7 8 0 0 0
7 7 8 8 8 7 8 0 0 0

7 7 7 7 7 7 7 7 7 7
12 12 12 12 7 12 12 12 12 12
4 4 4 4 7 12 4 4 4 4
4 4 4 4 7 12 4 4 4 4
4 4 4 4 7 12 4 4 4 4
7 7 7 7 7 7 7 7 7 7
12 12 12 12 12 12 12 12 12 7
12 4 4 4 4 4 4 4 4 7
12 4 4 4 4 4 4 4 4 7
12 4 4 4 4 4 4 4 4 7

0 0 0 4 0 0 0 0 0 14
0 0 0 4 4 0 0 14 14 0
4 4 14 4 4 4 4 4 4 0
0 14 4 4 14 14 4 14 4 0
0 0 4 14 4 4 14 4 0 0
0 0 4 4 14 4 14 4 0 0
0 4 4 14 14 4 4 4 4 0
4 14 4 4 4 4 4 4 14 0
0 0 14 4 0 4 14 4 0 4
0 0 4 0 0 0 14 0 0 0

0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 7 9 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 7 9 9 0 0 0 0 0 0
0 7 9 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0

0 0 0 2 0 0 0 0 0 2
0 0 0 2 2 0 0 2 2 0
2 2 2 2 2 2 2 2 2 0
0 2 2 2 2 2 2 2 2 0
0 0 2 2 2 2 2 2 0 0
0 0 2 2 2 2 2 2 0 0
0 2 2 2 2 2 2 2 2 0
2 2 2 2 2 2 2 2 2 0
0 0 2 2 0 2 2 2 0 2
0 0 2 0 0 0 2 0 0 0
